IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
ADB SPF,,Armenia,ARM: ZVARTNOTS AIRPORT EXPANSION PROJECT (PHASE 2),,25,,,,43922-014,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,,25,,,,37269-023,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,"National Trade Corridor Highway Investment Program, Tranche 2",,25,,,,40075-033,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Philippines,VISAYAS BASE-LOAD POWER PROJECT,,25,,,,43906-014,,,"Grant
Loan",,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,India,MFF - North Eastern Region Capital Cities Development Investment Program,,25,,,,35290-013,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Indonesia,Multitranche Financing Facility - Integrated Citarum Water Resources Management Investment Program,,25,,,,37049-013,,,"Grant
Loan
Technical Assistance",,,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Indonesia,Multitranche Financing Facility - Integrated Citarum Water Resources Management Investment Program,,25,,,,37049-013,,,"Grant
Loan
Technical Assistance",,,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kyrgyz Republic,Southern Agriculture Area Development Project,,25,,,,31196-013,,,"Grant
Loan",,,"Agriculture, natural resources and rural development",,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Regional,Regional Economic Integration in Central Asia: Stocktaking and Experience Sharing,,25,,,,43193-012,,,Technical Assistance,,,Public sector management,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Kyrgyz Republic,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,,25,,,,39674-022,,,Grant,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Kyrgyz Republic,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,,25,,,,39674-022,,,Grant,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Tajikistan,Education Sector Reform,,25,,,,37175-013,,,"Grant
Loan",,,Education,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Tajikistan,Education Sector Reform,,25,,,,37175-013,,,"Grant
Loan",,,Education,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Tajikistan,Education Sector Reform,,25,,,,37175-013,,,"Grant
Loan",,,Education,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Kazakhstan,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 1,,25,,,,41121-023,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Sri Lanka,National Highways Sector Project,,25,,,,38357-013,,,"Loan
Technical Assistance",,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Azerbaijan,MFF-Road Network Development Program,,25,,,,39176-013,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Azerbaijan,East-West Highway Improvement Project,,25,,,,35457-013,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,Rawalpindi Environmental Improvement,,25,,,,37003-013,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,National Trade Corridor Highway Investment Program,,25,,,,40075-013,,,"Grant
Loan
Technical Assistance",,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Pakistan,Rawalpindi Environmental Improvement,,25,,,,37003-013,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,National Trade Corridor Highway Investment Program,,25,,,,40075-013,,,"Grant
Loan
Technical Assistance",,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Pakistan,NWFP Road Development Sector and Subregional Connectivity,,25,,,,36052-013,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,Southern Punjab Basic Urban Services Project,,25,,,,23213-013,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,India,MFF - Himachal Pradesh Clean Energy Development Investment Program (Facility Concept),,25,,,,41627-013,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,"China, People's Republic of",Fuzhou Environmental Improvement Project,,25,,,,35340-013,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Viet Nam,GMS: Phnom Penh-HCMC Road Improvement,,25,,,,30316-013,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Approved,
ADB SPF,,Nepal,Urban and Environmental Improvement,,25,,,,32239-013,,,Loan,,,Finance,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Viet Nam,GMS: Mekong Tourism Development Project,,25,,,,35345-013,,,Loan,,,Industry and trade,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,India,Assam Power Sector Development Program (Project Loan),,25,,,,36318-013,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Pakistan,National Highway Development Sector Investment Program,,25,,,,37559-023,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Nepal,"Rural Electrification, Distribution and Transmission Project",,25,,,,29471-013,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Bangladesh,Khulna-Jessore Drainage Rehabilitation Project,,25,,,,21087,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Bangladesh,Khulna-Jessore Drainage Rehabilitation Project,,25,,,,21087,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Indonesia,Community Empowerment for Rural Development,,25,,,,32367-013,,,Loan,,,"Agriculture, natural resources and rural development",,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Philippines,Sixth Road Project,,25,,,,23233,,,Loan,,,"Agriculture, natural resources and rural development",,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Sri Lanka,Southern Transport Development,,25,,,,26522-013,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Closed,
ADB SPF,,Nepal,Melamchi Water Supply Project,,25,,,,31624-023,,,Loan,,,Water and other urban infrastructure and services,,,,,,,,,,,,,,,,,,,Active,
