IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Date Closed,Documents,Hyperlink
CAO,2009,Cambodia,Cambodia Airport II,155,21,,B,Societe Concessionaire de l'Aeroport,25332,,Infrastructure,IFC,$7.5 million,Transportation,"Land acquisition and compensation, loss of livelihoods, noise pollution, environmental impact to a national park, categorization, community consultation, and disclosure of project information",Closed,"December 11, 2009","December 11, 2009",,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=155
CAO,2013,Cambodia,Cambodia Airports,205,21,,B,Societe Concessionaire de l'Aeroport,21363,,Infrastructure,IFC,$10 million,Transportation,"Land acquisition, forced eviction, community consultation and due diligence",Open - Ombudsman,"June 07, 2013","June 07, 2013",,,,,Completed,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=205
